repo_full_name,owner,html_url,description,topics,category,tags,summary,starred_at,analyzed_at
Charmve/computer-vision-in-action,Charmve,https://github.com/Charmve/computer-vision-in-action,A computer vision closed-loop learning platform where code can be run interactively online. 学习闭环《计算机视觉实战演练：算法与应用》中文电子书、源码、读者交流社区（持续更新中 ...） 📘 在线电子书 https://charmve.github.io/computer-vision-in-action/   👇项目主页,books;charmve;colab-notebook;computer-vision;computer-vision-algorithms;deep-learning;deep-learning-tutorial;handbook;in-action;ipynb;jupyter-notebook;machine-learning;neural-network;notebook;pytorch;transformer;tutorial,人工智能与机器学习,计算机视觉;实战教程;电子书;PyTorch;深度学习;算法应用,一个集成了《计算机视觉实战演练：算法与应用》中文电子书、源码和在线互动学习平台的仓库，适合想要深入学习计算机视觉的读者。,2021-06-09T03:38:10Z,2025-10-11T15:03:02.223501+00:00
alibaba/butterfly,alibaba,https://github.com/alibaba/butterfly,🦋Butterfly，A JavaScript/React/Vue2 Diagramming library which concentrate on flow layout field.    (基于JavaScript/React/Vue2的流程图组件),bpmn;butterfly;connectivity;dag;diagram;diagramming;edge;flow;flow-dag;flow-layout;flowchart;mindmap;react;svg;tree;treemap-diagram;vue,前端开发,流程图;React;Vue;BPMN;DAG;可视化,Butterfly 是一个专注于流程布局领域的 JavaScript/React/Vue2 图表库，支持流程图、思维导图等多种图表类型。,2021-06-09T03:39:52Z,2025-10-11T15:03:02.223501+00:00
sfyc23/EverydayWechat,sfyc23,https://github.com/sfyc23/EverydayWechat,微信助手：1.每日定时给好友（女友）发送定制消息。2.机器人自动回复好友。3.群助手功能（例如：查询垃圾分类、天气、日历、电影实时票房、快递物流、PM2.5等）,ai;autoreply;bot;chat;chatbot;itchat;python;python3;tuling;wechat,社交工具,微信;自动回复;机器人;日常功能;Python;AI,EverydayWechat是一个基于Python的微信助手，能够定时发送定制消息给好友，自动回复信息，并提供群助手功能，包括垃圾分类、天气查询等实用工具。,2021-06-09T03:40:00Z,2025-10-11T15:03:02.223501+00:00
sivel/speedtest-cli,sivel,https://github.com/sivel/speedtest-cli,Command line interface for testing internet bandwidth using speedtest.net,python;python-library;python-script;speedtest,网络诊断与测试,Python;命令行工具;网络速度测试;带宽测试;speedtest,sivel/speedtest-cli 是一个使用 speedtest.net 进行互联网带宽测试的命令行接口，用 Python 编写，方便快速诊断网络性能。,2021-06-09T11:28:35Z,2025-10-11T15:03:02.223501+00:00
opencv/opencv,opencv,https://github.com/opencv/opencv,Open Source Computer Vision Library,c-plus-plus;computer-vision;deep-learning;image-processing;opencv,计算机视觉,C++;图像处理;深度学习;开源库;OpenCV,OpenCV是一个开源的计算机视觉库，广泛应用于图像处理、计算机视觉以及深度学习等领域，支持多种编程语言和平台。,2021-06-09T11:28:37Z,2025-10-11T15:03:02.223501+00:00
dynamicwebpaige/thinking-in-data,dynamicwebpaige,https://github.com/dynamicwebpaige/thinking-in-data,"A VS Code extension pack to help users visualize, understand, and interact with data.",data;data-science;datascience;machinelearning;visualization;vscode;vscode-extension,数据科学工具,数据可视化;VS Code扩展;数据理解;机器学习;数据交互,一个VS Code扩展包，旨在帮助用户可视化、理解和与数据交互，提升数据科学工作流的效率。,2021-06-09T11:28:38Z,2025-10-11T15:03:02.223501+00:00
ionic-team/ionic-framework,ionic-team,https://github.com/ionic-team/ionic-framework,"A powerful cross-platform UI toolkit for building native-quality iOS, Android, and Progressive Web Apps with HTML, CSS, and JavaScript.",angular;capacitor;framework;frontend;ionic;ios;javascript;material-design;mobile;pwa;react;stencil;stenciljs;typescript;vue;web;webcomponents,前端开发,跨平台;移动开发;UI框架;渐进式Web应用;Angular;React;Vue,Ionic Framework是一个强大的跨平台UI工具包，使用HTML、CSS和JavaScript构建具有原生质量的iOS、Android和渐进式Web应用。,2021-06-09T11:28:40Z,2025-10-11T15:03:02.223501+00:00
tabixio/tabix,tabixio,https://github.com/tabixio/tabix,Tabix.io UI,bi;business-intelligence;businessintelligence;clickhouse;dashboard;data-analysis;data-visualization;sql-query;tabix,商业智能,数据可视化;数据分析;SQL查询;ClickHouse;仪表板,Tabix.io 是一个商业智能工具，提供用户界面用于数据分析和可视化，支持SQL查询，与ClickHouse集成，帮助用户构建交互式仪表板。,2021-06-09T11:28:47Z,2025-10-11T15:03:02.223501+00:00
ant-design/ant-design,ant-design,https://github.com/ant-design/ant-design,An enterprise-class UI design language and React UI library,ant-design;antd;design-systems;react;typescript;ui-kit;ui-library,前端开发,Ant Design;React;TypeScript;UI库;设计系统;企业级,ant-design是一个企业级的UI设计语言和React UI库，提供了一套高质量的组件和设计规范，适用于中大型项目中使用，支持TypeScript。,2021-06-09T11:32:33Z,2025-10-11T15:03:02.223501+00:00
LinDaiDai/bpmn-chinese-document,LinDaiDai,https://github.com/LinDaiDai/bpmn-chinese-document,📒  全网最详bpmn.js中文教材/文档,bpmn-js;javascript,教育文档,bpmn.js;中文文档;前端;JavaScript;流程图,该项目是关于bpmn.js的详尽中文教材和文档，旨在帮助开发者更好地理解和使用bpmn.js这一JavaScript流程图绘制库。,2021-06-09T11:33:46Z,2025-10-11T15:03:02.223501+00:00
